PT,Binding Energy,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,RingCount,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_C_O,fr_C_O_noCOO
4.681498416,-56.9142,11.61981859,-0.281108277,11.61981859,0.121290627,0.710751511,208.213,196.117,208.0735589,80,0.288336433,-0.496609861,0.496609861,0.288336433,1.533333333,2.266666667,2.933333333,16.6011725,9.907697812,2.299948218,-2.254420172,2.318664212,-2.229691039,6.089992614,-0.111963358,2.459458918,400.8109842,10.99963552,8.611116056,8.611116056,7.113392203,4.723782273,4.723782273,3.597402442,3.597402442,2.427109974,2.427109974,1.767608501,1.767608501,-1.71,2520.341034,9.830243805,3.456117061,1.625985759,87.49104708,14.5802533,17.43623579,0,18.57286184,12.49684173,7.109797541,19.37479049,5.783244946,19.44852521,7.109797541,35.00263936,24.10353627,14.26826309,13.34455882,35.00263936,55.76,0,9.901064579,23.40554108,12.17998649,5.57310453,13.18581765,6.076020107,0,9.473725908,10.09821452,11.61981859,9.529816704,1.031944444,-0.036293462,0,3.579311224,1.836421013,0.363636364,15,1,4,4,1,4,1,2,1.6042,53.0008,1,1,1,1
5.629671992,-109.102,12.92110859,-1.804611232,12.92110859,0.004578157,0.114523396,586.546,556.306,586.168641,224,0.336937246,-0.507943894,0.507943894,0.336937246,1.119047619,1.904761905,2.619047619,16.78241229,9.80542306,2.501487035,-2.442560385,2.396140971,-2.607513377,6.178085947,-0.344152449,1.471814481,1374.991,30.12866308,22.10705104,22.10705104,20.12063126,13.12002969,13.12002969,10.0689874,10.0689874,7.475822896,7.475822896,5.356972407,5.356972407,-4.14,2026417304,29.35572586,11.99574287,5.518898832,239.0099048,54.32347914,35.3936804,18.20875424,30.19302736,23.48493673,25.04894891,63.91255351,17.32565476,43.41674063,13.21376393,83.74859536,92.60139754,33.27338914,11.98427311,78.18514387,201.67,78.55075187,40.22823874,29.41085587,11.99392615,6.076020107,42.67958894,0,6.578935684,23.68431477,28.03480381,25.10943434,62.33381782,0.122196813,-3.898641189,5.687624947,-4.002716772,3.28014689,0.379310345,42,6,13,13,6,13,7,5,1.0161,140.8848,5,5,2,2
3.538726632,-30.9112,13.55830199,-1.674402401,13.55830199,0.029303069,0.163196313,576.51,552.318,576.1278734,218,0.157304621,-0.87207382,0.87207382,0.157304621,0.619047619,1.214285714,1.833333333,16.51293208,9.770994532,2.436385938,-2.426657848,2.560801772,-2.372272227,5.650651657,-0.27177728,1.553153073,1717.761679,30.03228676,21.50071248,21.50071248,19.9384685,12.77056044,12.77056044,10.28384079,10.28384079,7.641253246,7.641253246,5.676562664,5.676562664,-5.2,2068152100,26.9936311,9.716024239,4.242891537,236.9501041,60.53899986,35.20598011,23.6317578,58.65200838,23.96854623,6.103966388,60.53899986,0,36.75459322,0,82.41456107,53.06015193,6.420821623,45.94309628,54.59730362,226.42,76.32986626,51.06527395,45.73710275,0,30.33183534,24.26546827,0,0,9.473725908,11.98638472,0,109.7571575,-0.00148235,-6.183323091,10.29498716,-5.687057298,0,0.2,42,8,12,12,8,12,3,6,1.731,138.9474,2,2,0,0
7.844056982,-24.1448,9.616096922,-0.772139353,9.616096922,0.260060103,0.318477578,286.456,252.184,286.2507949,120,0.079504934,-0.393686792,0.393686792,0.079504934,0.75,1.25,1.75,16.32039663,10.02479944,2.096685382,-2.12915998,2.12980099,-2.201399836,4.651006142,0.037960407,3.141015515,206.4117973,15.05419547,12.97318653,12.97318653,9.701907263,8.282115288,8.282115288,5.773929378,5.773929378,3.700496973,3.700496973,2.412523739,2.412523739,-0.38,21471.18932,19.62,15.01735609,14.03810834,124.2714231,15.31958218,0,57.44259309,19.26246487,6.420821623,18.81481474,15.31958218,0,89.25779225,6.606881965,12.65495579,34.13439692,0,77.04985948,12.65495579,60.69,12.20793278,10.21305479,6.606881965,6.420821623,25.68328649,44.94575136,0,6.578935684,5.106527395,0,0,27.48401183,0,0,0,14.21747666,3.465178175,0.882352941,20,3,3,3,3,3,15,0,3.5677,84.7004,3,3,0,0
4.060120482,-22.9742,12.44412037,-0.072916667,12.44412037,0.014768519,0.495409378,185.267,166.115,185.1415788,76,0.112299853,-0.632335028,0.632335028,0.112299853,1.153846154,1.923076923,2.692307692,16.55293447,9.880713539,2.404947548,-2.578589424,2.36087407,-2.623141779,4.770216128,-0.939294456,2.135766916,175.0086717,9.311554788,8.114230269,8.114230269,6.271003603,5.464420659,5.464420659,4.494651097,4.494651097,3.816569373,3.816569373,3.020696186,3.020696186,-0.12,1208.365016,9.435606308,3.558291074,1.491917441,79.52437891,14.96011927,6.041840829,0,32.10410811,6.420821623,19.1934792,9.752866247,0,50.6086114,13.15163837,5.207253025,34.98818628,0,38.52492974,0,43.29,0,10.31378042,17.29506165,6.041840829,38.64886452,6.420821623,0,0,0,-0.072916667,0,21.62364229,0,0,0.290462963,6.496218821,0.829259259,1,13,1,3,2,1,3,1,2,1.3983,50.8582,1,1,0,0
4.125169263,-55.2186,12.55798029,-0.995686078,12.55798029,0.024309039,0.188481572,764.95,700.438,764.4346921,306,0.330661,-0.457979662,0.457979662,0.330661,0.685185185,1.296296296,1.888888889,16.7408911,9.429064476,2.675131571,-2.635038123,2.696813267,-2.621136936,5.849952509,-0.335843013,0.826308373,1374.417685,38.31889752,32.5867473,32.5867473,25.59002995,20.83930433,20.83930433,18.73758599,18.73758599,15.85828056,15.85828056,12.78275084,12.78275084,-1.23,9.81E+11,39.58921701,14.85767077,6.822362773,318.5281908,58.69067765,24.91878113,13.8474744,113.2183254,30.75347545,48.32881553,63.48521483,5.969305288,197.1793404,6.606881965,11.64912464,123.6196191,37.95257786,111.6685455,11.64912464,182.83,79.40682849,30.32717416,54.00152958,18.44269406,63.36049914,0,19.92349451,13.8474744,33.15804068,42.20219522,11.92513373,54.97889408,0.215206902,1.133496918,0,1.903737843,10.39133531,0.926829268,54,5,13,13,5,13,7,8,3.2473,191.221,5,4,1,1
3.946163165,-72.7849,12.92598541,-1.751988085,12.92598541,0.000182597,0.195508123,580.539,548.283,580.1792057,224,0.229138572,-0.511241031,0.511241031,0.229138572,0.87804878,1.585365854,2.268292683,16.75371166,9.935915675,2.508224615,-2.453427931,2.398614516,-2.636037127,6.087771794,-0.359661214,1.39121936,1224.872013,29.584693,21.75636665,21.75636665,19.4764733,12.98123611,12.98123611,10.24999187,10.24999187,7.417352571,7.417352571,5.069512468,5.069512468,-3.05,1086217984,29.44263909,11.67699608,5.704490984,233.0861721,64.53653393,71.32787569,12.13273414,24.61992283,18.57286184,12.71084835,69.33107111,5.783244946,80.86030977,6.606881965,64.83155912,114.6541306,28.47885195,25.0119767,59.26810763,225.06,79.90587786,45.64675634,35.0209326,5.563451492,6.076020107,25.13249144,12.13273414,0,23.68431477,28.5231787,12.92598541,81.60514237,0.548160257,-0.975740826,6.118866392,-13.62242552,0.710166553,0.518518519,41,8,14,14,8,14,6,5,-1.3155,133.4514,7,7,1,1
4.81423693,-74.6484,12.00389939,-1.696664431,12.00389939,0.035985829,0.168797877,852.072,778.488,851.503106,342,0.18687941,-0.393566318,0.393566318,0.18687941,0.683333333,1.333333333,1.983333333,16.76879664,9.466046645,2.664465378,-2.584101491,2.696705538,-2.66297291,5.267491416,-0.388337938,0.927407877,1572.82458,42.73902906,36.18634343,36.18634343,28.45930766,23.21683231,23.21683231,21.219597,21.219597,17.9934516,17.9934516,14.69677595,14.69677595,-0.86,2.06E+13,44.34745495,16.53682823,7.110929046,353.8495957,69.27339688,61.03966388,39.34407344,117.9722862,18.62843806,24.91878113,69.27339688,0,209.6351427,13.15163837,11.64912464,169.2090921,28.42117772,99.3298178,11.64912464,220.46,98.72455881,40.85221916,11.51895686,35.63137106,43.05802384,58.06944345,0,38.67087864,28.42117772,36.6814146,2.948191667,85.91875336,1.798598693,4.260880416,1.453862839,-9.142950191,13.74791529,0.955555556,60,8,15,15,8,15,7,9,1.1828,213.5034,8,8,0,0
3.861917979,-30.5459,10.75891869,-0.126203704,10.75891869,0.027629887,0.695869003,192.214,180.118,192.0786442,74,0.276074736,-0.480987771,0.480987771,0.276074736,1.428571429,2.071428571,2.642857143,16.59080467,10.09624538,1.9663606,-1.992487033,2.06231238,-1.915209398,6.008871997,-0.110008479,2.620466298,314.4418068,10.38890506,7.934918573,7.934918573,6.719545353,4.359687812,4.359687812,2.673619297,2.673619297,1.590680726,1.590680726,0.942447852,0.942447852,-1.77,1444.114641,10.31176615,5.06677031,3.308582712,82.69372997,9.843390349,0,12.15204021,30.72490205,6.076020107,6.606881965,14.63792753,5.783244946,6.9237372,6.606881965,47.97445038,17.49665431,9.531400138,6.9237372,47.97445038,46.53,0,4.794537184,11.72847016,6.606881965,5.57310453,18.22806032,25.15179752,0,9.843390349,4.810966002,10.75891869,9.110989072,0.843382464,-0.153833591,0,9.415335884,2.214241482,0.181818182,14,1,3,3,1,3,3,1,2.0438,53.7078,1,1,1,1
4.702948942,-61.8093,10.01468837,-1.312440004,10.01468837,0.244814815,0.488787413,179.151,172.095,179.0349823,68,0.157489514,-0.545466972,0.545466972,0.157489514,1.307692308,2,2.538461538,16.3647006,10.16371749,1.964808622,-1.980088771,2.246329022,-2.179524306,5.832151412,-0.29691972,2.915115081,354.6323762,9.844934983,6.597675118,6.597675118,6.092224153,3.50417936,3.50417936,2.40052065,2.40052065,1.411336493,1.411336493,0.808397321,0.808397321,-1.97,734.6523961,9.120661831,3.620415974,2.51689431,74.38084979,20.11411937,0,12.14238718,23.77220574,0,5.969305288,20.11411937,12.04532539,0,0,29.8385728,16.18236008,4.794537184,5.563451492,24.27512131,80.59,5.969305288,9.901064579,11.49902367,5.563451492,6.076020107,24.27512131,0,0,10.21305479,0,10.01468837,27.95143078,0.471759259,-1.848460412,3.979714664,2.097534014,0,0,13,2,4,4,2,4,2,1,-0.1391,43.8126,0,0,1,1
